iter	Passed	Remaining
625	5085	3038
626	5099	3033
627	5110	3026
628	5125	3023
629	5139	3018
630	5150	3011
631	5160	3005
632	5175	3000
633	5188	2995
634	5200	2989
635	5211	2982
636	5224	2977
637	5234	2970
638	5244	2963
639	5258	2958
640	5270	2952
641	5281	2944
642	5293	2938
643	5305	2932
644	5315	2925
645	5329	2920
646	5340	2913
647	5356	2909
648	5368	2903
649	5385	2899
650	5400	2895
651	5412	2888
652	5425	2883
653	5437	2876
654	5450	2870
655	5461	2863
656	5472	2856
657	5487	2851
658	5499	2845
659	5513	2840
660	5527	2834
661	5539	2828
662	5551	2821
663	5572	2819
664	5591	2816
665	5607	2812
666	5622	2807
667	5633	2799
668	5649	2795
669	5660	2788
670	5671	2781
671	5683	2773
672	5696	2767
673	5714	2763
674	5728	2758
675	5740	2751
676	5751	2744
677	5762	2736
678	5773	2729
679	5786	2722
680	5798	2716
681	5809	2708
682	5819	2701
683	5829	2693
684	5841	2686
685	5852	2678
686	5862	2670
687	5873	2663
688	5883	2655
689	5892	2647
690	5902	2639
691	5913	2631
692	5923	2624
693	5933	2616
694	5942	2607
695	5953	2600
696	5962	2591
697	5971	2583
698	5982	2576
699	5991	2567
700	6001	2559
701	6013	2552
702	6022	2544
703	6034	2537
704	6046	2529
705	6056	2522
706	6068	2515
707	6081	2508
708	6091	2499
709	6101	2492
710	6112	2484
711	6121	2475
712	6131	2468
713	6144	2461
714	6154	2453
715	6163	2444
716	6175	2437
717	6187	2430
718	6198	2422
719	6211	2415
720	6222	2408
721	6233	2400
722	6243	2392
723	6253	2384
724	6263	2375
725	6272	2367
726	6283	2359
727	6293	2351
728	6305	2343
729	6319	2337
730	6339	2332
731	6355	2327
732	6365	2318
733	6375	2310
734	6388	2303
735	6402	2296
736	6414	2288
737	6427	2281
738	6441	2275
739	6459	2269
740	6476	2263
741	6492	2257
742	6508	2251
743	6522	2244
744	6536	2237
745	6548	2229
746	6559	2221
747	6573	2214
748	6587	2207
749	6598	2199
750	6610	2191
751	6621	2183
752	6634	2176
753	6647	2168
754	6661	2161
755	6674	2154
756	6684	2145
757	6695	2137
758	6707	2129
759	6718	2121
760	6729	2113
761	6739	2104
762	6749	2096
763	6759	2087
764	6772	2080
765	6782	2071
766	6792	2063
767	6803	2055
768	6814	2046
769	6823	2038
770	6832	2029
771	6842	2020
772	6853	2012
773	6863	2003
774	6874	1995
775	6885	1987
776	6897	1979
777	6908	1971
778	6920	1963
779	6930	1954
780	6941	1946
781	6952	1938
782	6965	1930
783	6976	1922
784	6989	1914
785	7003	1906
786	7015	1898
787	7030	1891
788	7045	1884
789	7057	1876
790	7070	1868
791	7083	1860
792	7098	1852
793	7114	1845
794	7134	1839
795	7150	1832
796	7160	1823
797	7173	1815
798	7182	1806
799	7193	1798
800	7207	1790
801	7221	1782
802	7231	1774
803	7243	1765
804	7254	1757
805	7265	1748
806	7276	1740
807	7286	1731
808	7296	1722
809	7306	1713
810	7316	1705
811	7326	1696
812	7336	1687
813	7347	1678
814	7358	1670
815	7369	1661
816	7378	1652
817	7388	1643
818	7403	1636
819	7413	1627
820	7422	1618
821	7431	1609
822	7440	1600
823	7452	1591
824	7463	1583
825	7474	1574
826	7484	1565
827	7493	1556
828	7503	1547
829	7512	1538
830	7528	1530
831	7542	1523
832	7555	1514
833	7570	1506
834	7581	1498
835	7592	1489
836	7604	1480
837	7614	1471
